ID,邀请码,状态,绑定用户ID,创建时间,使用时间
"1","NN-VIP-8888","used","1","2026-04-02T08:19:22.652Z","2026-04-04 08:11:44"
"2","NN-VIP-9999","unused","","2026-04-02T08:19:22.654Z",""
"4","NN-VIP-7777","unused","","2026-04-02T13:13:31.911Z",""
"5","NUONUO","used","2","2026-04-02T13:16:04.588Z",""
"6","NUONUO-324N6AU","used","4","2026-04-02T13:25:39.921Z","2026-04-02T13:25:39.921Z"
"8","NUONUO-AWNKEJY","used","9","2026-03-31T13:53:37.906Z","2026-04-05T10:20:20.757Z"
"9","NUONUO-8YSU775","unused","","2026-03-31T13:53:37.906Z",""
"10","NUONUO-98R56NV","unused","","2026-03-31T13:53:37.906Z",""
"11","NUONUO-FMJESDS","unused","","2026-03-31T13:53:37.906Z",""
"12","NUONUO-P9A2L5W","unused","","2026-03-31T13:53:37.906Z",""
"13","NUONUO-PL3KZX2","unused","","2026-03-31T13:53:37.906Z",""
"14","NUONUO-YPFUXWJ","unused","","2026-03-31T13:53:37.906Z",""
"15","NUONUO-USCMUKH","unused","","2026-03-31T13:53:37.906Z",""
"16","NUONUO-2WUTANE","unused","","2026-03-31T13:53:37.906Z",""
"17","NUONUO-V4ZV7BX","unused","","2026-03-31T13:53:37.906Z",""
"18","NUONUO-ERU7XQA","unused","","2026-03-31T13:53:37.906Z",""
"19","NUONUO-C5GUN73","unused","","2026-03-31T13:53:37.906Z",""
"20","NUONUO-5AJQFR6","unused","","2026-03-31T13:53:37.906Z",""
"21","NUONUO-BCEVQXT","unused","","2026-03-31T13:53:37.906Z",""
"22","NUONUO-MUBAA3Q","unused","","2026-03-31T13:53:37.906Z",""
"23","NUONUO-B7NXEAY","unused","","2026-03-31T13:53:37.906Z",""
"24","NUONUO-EW3T696","unused","","2026-03-31T13:53:37.906Z",""
"25","NUONUO-VMP8MD8","unused","","2026-03-31T13:53:37.906Z",""
"26","NUONUO-4628MRK","unused","","2026-03-31T13:53:37.906Z",""
"27","NUONUO-7JUL85V","unused","","2026-03-31T13:53:37.906Z",""
"28","NUONUO-BQ8C7ZQ","unused","","2026-03-31T13:53:37.906Z",""
"29","NUONUO-52N7NF9","unused","","2026-03-31T13:53:37.906Z",""
"30","NUONUO-CPZ6FJK","unused","","2026-03-31T13:53:37.906Z",""
"31","NUONUO-C657HWU","unused","","2026-03-31T13:53:37.906Z",""
"32","NUONUO-CLWXBM5","unused","","2026-03-31T13:53:37.906Z",""
"33","NUONUO-6PXGHYF","unused","","2026-03-31T13:53:37.906Z",""
