fat	adj. 肥胖的 n. 脂肪
modern	adj. 现代的
trick	n. 诡计；把戏
implement	v. 实施
reach	v. 到达
attain	v. 达到；获得
seal	n. 海豹；封条 v. 密封
laugh	v. 笑
duck	n. 鸭子
available	adj. 可用的；有空的
towel	n. 毛巾
stuff	n. 东西 v. 塞满
myself	pron. 我自己
field	n. 田野；领域
flag	n. 旗帜
cafeteria	n. 自助餐厅
remain	v. 保持；剩下
dozen	n. 一打；十二个
shampoo	n. 洗发水
plan	n./v. 计划
circus	n. 马戏团
board	n. 木板；董事会 v. 上船(车)
island	n. 岛
mobile	adj. 可移动的
clerk	n. 店员；职员
fee	n. 费用
mother/mum	n. 母亲
mechanic	n. 技工
pupil	n. 小学生；瞳孔
accuse	v. 指责；控告
shelf	n. 架子
pardon	int. 请再说一遍
resign	v. 辞职
stimulate	v. 刺激
previous	adj. 以前的
period	n. 时期
thing	n. 东西；事情
world	n. 世界
teenager	n. 青少年
tackle	v. 处理；对付
according	adv. 依照 (常与 to 连用)
clarify	v. 澄清
knee	n. 膝盖
age	n. 年龄；时代
base	n. 基础；基地 v. 以...为基础
inn	n. 小旅馆
choke	v. 窒息；噎住
saying	n. 谚语
uniform	n. 制服 adj. 统一的
cut	v. 切；剪
your	pron. 你的；你们的
prohibit	v. 禁止
high-tech	adj. 高科技的
tired	adj. 累的
slight	adj. 轻微的
well-known	adj. 著名的
envelope	n. 信封
something	pron. 某事
telescope	n. 望远镜
bore	v. 使厌烦
mutton	n. 羊肉
zero	num. 零
refresh	v. 使恢复精神
kit	n. 工具包
play	v. 玩；播放
her	pron. 她(宾格)；她的
attitude	n. 态度；看法
debt	n. 债务
sunshine	n. 阳光
dictation	n. 听写
symphony	n. 交响乐
sport	n. 运动
tone	n. 语气；音调
snow	n. 雪 v. 下雪
stand	v. 站立；忍受
cupboard	n. 橱柜
genuine	adj. 真正的；真诚的
office	n. 办公室
school	n. 学校
aboard	adv./prep. 在船(车、飞行器)上
enable	v. 使能够
resolve	v. 解决；决心
magic	n. 魔法 adj. 神奇的
apparently	adv. 显然地；表面上
garlic	n. 大蒜
vegetable	n. 蔬菜
watch	v. 观看 n. 手表
entitle	v. 给...权利；给...题名
strategy	n. 策略
spot	n. 地点；斑点
branch	n. 树枝；分公司
substance	n. 物质
shark	n. 鲨鱼
eleven	num. 十一
pan	n. 平底锅
bet	v./n. 打赌
father	n. 父亲
afford	v. 买得起；承担得起
meeting	n. 会议
concrete	n. 混凝土 adj. 具体的
mainland	n. 大陆
quick	adj. 快的
tailor	n. 裁缝
back	adv. 向后 n. 背部 v. 支持
chief	adj. 主要的 n. 首领
rose	n. 玫瑰
news	n. 新闻
through	prep. 穿过
total	adj. 总的 n. 总数
brick	n. 砖
almost	adv. 几乎；差不多
design	v./n. 设计
sponsor	n. 赞助商
arrival	n. 到达；到来
yet	adv. 还；已经 conj. 然而
represent	v. 代表
clock	n. 时钟
repair	v. 修理
hen	n. 母鸡
resistance	n. 抵抗
agenda	n. 议程；日程表
tell	v. 告诉
arrest	v. 逮捕
internal	adj. 内部的
conflict	n./v. 冲突
rubber	n. 橡胶
attempt	v./n. 尝试；企图
apply	v. 申请；应用；涂抹
specific	adj. 具体的
cinema	n. 电影院
sense	n. 感觉；意义
generous	adj. 慷慨的
print	v. 打印
climb	v. 爬
already	adv. 已经
tour	n. 旅游
innocent	adj. 无辜的
hero	n. 英雄
invent	v. 发明
snack	n. 零食
often	adv. 经常
highlight	v. 强调 n. 亮点
guitar	n. 吉他
chart	n. 图表
urban	adj. 城市的
experiment	n./v. 实验
video	n. 视频
react	v. 反应
planet	n. 行星
simple	adj. 简单的
worst	adj. 最糟的
dustbin	n. 垃圾箱
p.m.	abbr. 下午
homeland	n. 祖国
green	adj. 绿色的
religious	adj. 宗教的
section	n. 部分；节
profile	n. 轮廓；简介
warm	adj. 温暖的
greet	v. 问候
delighted	adj. 高兴的
village	n. 村庄
worry	v. 担心
even	adv. 甚至 adj. 平坦的
phase	n. 阶段
capital	n. 首都；资本；大写字母
solid	adj. 固体的 n. 固体
jeans	n. 牛仔裤
mail	n. 邮件 v. 邮寄
bath	n. 洗澡；浴缸
guard	n. 守卫 v. 保卫
eve	n. 前夜
nowhere	adv. 无处
revenue	n. 收入；税收
parent	n. 父母
shoot	v. 射击；拍摄
tall	adj. 高的
cease	v. 停止
robot	n. 机器人
date	n. 日期；约会 v. 注明日期
say	v. 说
hunt	v. 打猎
shut	v. 关闭
bonus	n. 奖金；红利
funny	adj. 滑稽的；好笑的
expense	n. 费用；代价
salary	n. 薪水
adapt	v. 使适应；改编
property	n. 财产
somewhat	adv. 稍微
experience	n. 经验 v. 经历
somebody/someone	pron. 某人
lake	n. 湖
battery	n. 电池
boundary	n. 边界；界限
refund	n. 退款
novel	n. 小说
episode	n. 插曲；一集
climate	n. 气候
medal	n. 奖牌
store	n. 商店 v. 储存
shore	n. 岸
pumpkin	n. 南瓜
Wi-Fi	n. 无线网
abroad	adv. 在国外；到海外
virus	n. 病毒
concern	n. 关心 v. 涉及
tide	n. 潮汐
continue	v. 继续
anywhere	adv. 在任何地方
enhance	v. 增强；提高
port	n. 港口
mile	n. 英里
altogether	adv. 总共；完全
recognise	v. 认出；承认
solar	adj. 太阳的
drink	v. 喝 n. 饮料
emotion	n. 情绪；情感
it	pron. 它
stability	n. 稳定性
chairman/chairwoman/chairperson	n. 主席
sex	n. 性别；性
forest	n. 森林
subway	n. 地铁
survive	v. 幸存
microwave	n. 微波炉
session	n. 会议；一段时间
restaurant	n. 餐厅
trip	n. 旅行
arise	v. 出现；发生；升起
festival	n. 节日
mankind	n. 人类
spread	v. 传播；展开
lively	adj. 活泼的
him	pron. 他(宾格)
sweet	adj. 甜的
class	n. 班级；课；阶级
wise	adj. 明智的
familiar	adj. 熟悉的
within	prep. 在...之内
disaster	n. 灾难
recall	v. 回忆
boat	n. 船
aid	n./v. 援助；帮助
die	v. 死
outline	n. 提纲
area	n. 区域；面积
missile	n. 导弹
home	n. 家
operate	v. 操作；动手术
wood	n. 木头
maximum	n. 最大量 adj. 最大的
sail	v./n. 航行
hence	adv. 因此
hall	n. 大厅
quite	adv. 相当
juice	n. 果汁
riddle	n. 谜语
wave	v. 挥手；波动 n. 波浪
shoe	n. 鞋
card	n. 卡片
Confucius	n. 孔子
hand	n. 手
X-ray	n. X光
happen	v. 发生
ski	v. 滑雪
pound	n. 英镑
alcohol	n. 酒精；酒
surprise	n. 惊喜 v. 使惊讶
law	n. 法律
brand	n. 品牌
fashion	n. 时尚
procedure	n. 程序
therapy	n. 治疗
task	n. 任务
upset	adj. 心烦的 v. 打乱
surround	v. 包围
view	n. 观点；景色 v. 看待
fuel	n. 燃料
fireworks	n. 烟花
wedding	n. 婚礼
wander	v. 漫游；闲逛
specialty	n. 特产；专业
term	n. 学期；术语
reunion	n. 重聚
satellite	n. 卫星
investigate	v. 调查
dining	n. 进餐
oral	adj. 口头的
licence	n. 许可证；执照
restrict	v. 限制
radiation	n. 辐射
palace	n. 宫殿
chocolate	n. 巧克力
symptom	n. 症状
mood	n. 心情
merely	adv. 仅仅
find	v. 发现；找到
still	adv. 仍然 adj. 静止的
nobody	pron. 没有人
its	pron. 它的
cage	n. 笼子
